Race ID,Horse Name,Average Speed,Time Taken,Win,Lose,Fallen
3da34bae-2ecb-4233-9977-3605d872fd9b,Barney,16.67,45,1,0,0
3da34bae-2ecb-4233-9977-3605d872fd9b,Chevron,15.00,50,0,1,0
3da34bae-2ecb-4233-9977-3605d872fd9b,Gaston,13.16,38,0,0,1
9527ccc0-976e-4985-bdd4-bcf636be7670,Chevron,11.69,77,0,1,0
9527ccc0-976e-4985-bdd4-bcf636be7670,Gaston,11.36,44,0,0,1
9527ccc0-976e-4985-bdd4-bcf636be7670,Barney,12.86,70,1,0,0
f2220489-cab2-4c97-bff2-85e5fd82de7e,Gaston,12.50,120,1,0,0
f2220489-cab2-4c97-bff2-85e5fd82de7e,Barney,11.43,70,0,0,1
f2220489-cab2-4c97-bff2-85e5fd82de7e,Chevron,10.34,145,0,1,0
5e94d2e0-15f2-4457-b351-156bf4493680,Horse 1,71.42857142857143,7,0,0,0
5e94d2e0-15f2-4457-b351-156bf4493680,Horse 0,55.55555555555556,9,0,0,0
5e94d2e0-15f2-4457-b351-156bf4493680,Horse 2,55.55555555555556,9,0,0,0
5e94d2e0-15f2-4457-b351-156bf4493680,Horse 3,18.51851851851852,27,0,0,1
d28595fd-b9c0-437f-8e3d-48b64708e9b3,Horse 4,500.0,1,0,0,1
d28595fd-b9c0-437f-8e3d-48b64708e9b3,Horse 0,125.0,4,0,0,1
d28595fd-b9c0-437f-8e3d-48b64708e9b3,Horse 5,100.0,5,0,1,0
d28595fd-b9c0-437f-8e3d-48b64708e9b3,Horse 2,83.33333333333333,6,0,1,0
d28595fd-b9c0-437f-8e3d-48b64708e9b3,Horse 1,55.55555555555556,9,0,0,1
d28595fd-b9c0-437f-8e3d-48b64708e9b3,Horse 3,50.0,10,0,0,1
01ad3db5-baae-4651-a285-67cd10a26707,Horse 2,Infinity,0,0,0,1
01ad3db5-baae-4651-a285-67cd10a26707,Horse 3,Infinity,0,0,0,1
01ad3db5-baae-4651-a285-67cd10a26707,Horse 5,166.66666666666666,3,0,0,1
01ad3db5-baae-4651-a285-67cd10a26707,Horse 1,31.25,16,0,1,0
01ad3db5-baae-4651-a285-67cd10a26707,Horse 4,31.25,16,0,1,0
01ad3db5-baae-4651-a285-67cd10a26707,Horse 0,21.73913043478261,23,0,1,0
447d0452-6c2d-4b5a-a74c-aa919ce1add3,Horse 3,250.0,2,0,0,1
447d0452-6c2d-4b5a-a74c-aa919ce1add3,Horse 4,250.0,2,0,0,1
447d0452-6c2d-4b5a-a74c-aa919ce1add3,Horse 2,100.0,5,0,0,1
447d0452-6c2d-4b5a-a74c-aa919ce1add3,Horse 1,55.55555555555556,9,0,0,0
447d0452-6c2d-4b5a-a74c-aa919ce1add3,Horse 0,55.55555555555556,9,0,0,0
447d0452-6c2d-4b5a-a74c-aa919ce1add3,Horse 5,27.77777777777778,18,0,0,1
a0383fbd-f2fd-4715-90c4-8ea6e25f1555,Horse 2,100.0,5,0,1,0
a0383fbd-f2fd-4715-90c4-8ea6e25f1555,Horse 5,100.0,5,0,1,0
a0383fbd-f2fd-4715-90c4-8ea6e25f1555,Horse 3,83.33333333333333,6,0,0,1
a0383fbd-f2fd-4715-90c4-8ea6e25f1555,Horse 0,83.33333333333333,6,0,1,0
a0383fbd-f2fd-4715-90c4-8ea6e25f1555,Horse 4,62.5,8,0,1,0
a0383fbd-f2fd-4715-90c4-8ea6e25f1555,Horse 1,55.55555555555556,9,0,1,0
2e668cef-1ef7-4e39-bf88-3c394eebb392,Horse 5,125.0,4,1,0,0
2e668cef-1ef7-4e39-bf88-3c394eebb392,Horse 0,125.0,4,0,1,0
2e668cef-1ef7-4e39-bf88-3c394eebb392,Horse 1,125.0,4,0,1,0
2e668cef-1ef7-4e39-bf88-3c394eebb392,Horse 3,83.33333333333333,6,0,1,0
2e668cef-1ef7-4e39-bf88-3c394eebb392,Horse 4,83.33333333333333,6,0,1,0
2e668cef-1ef7-4e39-bf88-3c394eebb392,Horse 2,71.42857142857143,7,0,1,0
ec61f4ca-2777-4796-b722-bb89f11d8d46,Horse 5,250.0,2,0,0,1
ec61f4ca-2777-4796-b722-bb89f11d8d46,Horse 0,250.0,2,0,0,1
ec61f4ca-2777-4796-b722-bb89f11d8d46,Horse 2,125.0,4,1,0,0
ec61f4ca-2777-4796-b722-bb89f11d8d46,Horse 4,125.0,4,0,0,1
ec61f4ca-2777-4796-b722-bb89f11d8d46,Horse 3,100.0,5,0,1,0
ec61f4ca-2777-4796-b722-bb89f11d8d46,Horse 1,83.33333333333333,6,0,1,0
4fa4d342-5a27-4b82-a0a7-3021c70242b0,Horse 5,Infinity,0,0,0,1
4fa4d342-5a27-4b82-a0a7-3021c70242b0,Horse 0,Infinity,0,0,0,1
4fa4d342-5a27-4b82-a0a7-3021c70242b0,Horse 3,500.0,1,0,0,1
4fa4d342-5a27-4b82-a0a7-3021c70242b0,Horse 4,125.0,4,1,0,0
4fa4d342-5a27-4b82-a0a7-3021c70242b0,Horse 1,100.0,5,0,1,0
4fa4d342-5a27-4b82-a0a7-3021c70242b0,Horse 2,50.0,10,0,1,0
4fa4d342-5a27-4b82-a0a7-3021c70242b0,Horse 6,41.666666666666664,12,0,0,1
e5f45123-43bd-4f75-95e7-bc4e2c284e93,Horse 2,Infinity,0,0,0,1
e5f45123-43bd-4f75-95e7-bc4e2c284e93,Horse 4,250.0,2,0,0,1
e5f45123-43bd-4f75-95e7-bc4e2c284e93,Horse 1,250.0,2,0,0,1
e5f45123-43bd-4f75-95e7-bc4e2c284e93,Horse 5,100.0,5,1,0,1
e5f45123-43bd-4f75-95e7-bc4e2c284e93,Horse 3,100.0,5,0,1,0
e5f45123-43bd-4f75-95e7-bc4e2c284e93,Horse 0,62.5,8,0,1,0
07b29b47-d60a-4600-b5c2-7aa989a101d4,Horse 5,125.0,4,1,0,0
07b29b47-d60a-4600-b5c2-7aa989a101d4,Horse 0,125.0,4,0,0,1
07b29b47-d60a-4600-b5c2-7aa989a101d4,Horse 3,100.0,5,0,1,0
07b29b47-d60a-4600-b5c2-7aa989a101d4,Horse 2,83.33333333333333,6,0,0,1
07b29b47-d60a-4600-b5c2-7aa989a101d4,Horse 1,71.42857142857143,7,0,1,0
07b29b47-d60a-4600-b5c2-7aa989a101d4,Horse 4,62.5,8,0,0,1
d86871e6-37a8-44d1-ae83-b13f10b9e2ea,Horse 5,500.0,1,0,0,1
d86871e6-37a8-44d1-ae83-b13f10b9e2ea,Horse 3,500.0,1,0,0,1
d86871e6-37a8-44d1-ae83-b13f10b9e2ea,Horse 4,166.66666666666666,3,0,0,1
d86871e6-37a8-44d1-ae83-b13f10b9e2ea,Horse 1,100.0,5,0,1,0
d86871e6-37a8-44d1-ae83-b13f10b9e2ea,Horse 0,50.0,10,0,0,1
a3b6fb89-8146-4702-8857-c4a28b902a18,Horse 2,166.66666666666666,3,0,0,1
a3b6fb89-8146-4702-8857-c4a28b902a18,Horse 4,71.42857142857143,7,1,0,0
a3b6fb89-8146-4702-8857-c4a28b902a18,Horse 1,62.5,8,0,1,0
a3b6fb89-8146-4702-8857-c4a28b902a18,Horse 0,50.0,10,0,0,1
a3b6fb89-8146-4702-8857-c4a28b902a18,Horse 5,45.45454545454545,11,0,1,0
a3b6fb89-8146-4702-8857-c4a28b902a18,Horse 3,41.666666666666664,12,0,0,1
1184dd89-d038-4efe-a456-999ae6e68755,Horse 1,250.0,2,0,0,1
1184dd89-d038-4efe-a456-999ae6e68755,Horse 0,250.0,2,0,0,1
1184dd89-d038-4efe-a456-999ae6e68755,Horse 6,125.0,4,0,0,1
1184dd89-d038-4efe-a456-999ae6e68755,Horse 4,125.0,4,0,0,1
1184dd89-d038-4efe-a456-999ae6e68755,Horse 5,100.0,5,1,0,0
1184dd89-d038-4efe-a456-999ae6e68755,Horse 3,83.33333333333333,6,0,0,1
1184dd89-d038-4efe-a456-999ae6e68755,Horse 7,55.55555555555556,9,0,1,0
1184dd89-d038-4efe-a456-999ae6e68755,Horse 2,41.666666666666664,12,0,1,0
e5ee9914-d8a2-4db1-9d55-018eb5485430,Horse 2,500.0,1,0,0,1
e5ee9914-d8a2-4db1-9d55-018eb5485430,Horse 1,125.0,4,1,0,0
e5ee9914-d8a2-4db1-9d55-018eb5485430,Horse 5,100.0,5,0,1,0
e5ee9914-d8a2-4db1-9d55-018eb5485430,Horse 3,100.0,5,0,1,0
e5ee9914-d8a2-4db1-9d55-018eb5485430,Horse 4,100.0,5,0,1,0
e5ee9914-d8a2-4db1-9d55-018eb5485430,Horse 0,100.0,5,0,1,0
e5ee9914-d8a2-4db1-9d55-018eb5485430,Horse 6,45.45454545454545,11,0,1,0
f5df67c2-4fa4-4021-a7cd-ee4cdf90a793,Horse 0,125.0,4,1,0,0
f5df67c2-4fa4-4021-a7cd-ee4cdf90a793,Horse 1,125.0,4,0,0,1
f5df67c2-4fa4-4021-a7cd-ee4cdf90a793,Horse 3,100.0,5,0,1,0
f5df67c2-4fa4-4021-a7cd-ee4cdf90a793,Horse 4,55.55555555555556,9,0,1,0
f5df67c2-4fa4-4021-a7cd-ee4cdf90a793,Horse 5,50.0,10,0,0,1
f5df67c2-4fa4-4021-a7cd-ee4cdf90a793,Horse 2,21.73913043478261,23,0,0,1
6ffbfe15-072d-487d-b970-585c3988a79c,Horse 2,166.66666666666666,3,0,0,1
6ffbfe15-072d-487d-b970-585c3988a79c,Horse 0,125.0,4,0,1,0
6ffbfe15-072d-487d-b970-585c3988a79c,Horse 1,125.0,4,0,1,0
6ffbfe15-072d-487d-b970-585c3988a79c,Horse 4,100.0,5,0,0,1
6ffbfe15-072d-487d-b970-585c3988a79c,Horse 3,100.0,5,0,1,0
fa21a95d-3a4f-4527-9c36-8affe0c571fb,Horse 4,166.66666666666666,3,0,0,1
fa21a95d-3a4f-4527-9c36-8affe0c571fb,Horse 3,125.0,4,1,0,0
fa21a95d-3a4f-4527-9c36-8affe0c571fb,Horse 0,50.0,10,0,0,1
fa21a95d-3a4f-4527-9c36-8affe0c571fb,Horse 2,31.25,16,0,1,0
fa21a95d-3a4f-4527-9c36-8affe0c571fb,Horse 1,17.24137931034483,29,0,0,1
dec2492a-0682-433d-bf73-8c10166f7322,Horse 4,Infinity,0,0,0,1
dec2492a-0682-433d-bf73-8c10166f7322,Horse 2,500.0,1,0,0,1
dec2492a-0682-433d-bf73-8c10166f7322,Horse 5,500.0,1,0,0,1
dec2492a-0682-433d-bf73-8c10166f7322,Horse 1,125.0,4,1,0,0
dec2492a-0682-433d-bf73-8c10166f7322,Horse 3,55.55555555555556,9,0,0,1
dec2492a-0682-433d-bf73-8c10166f7322,Horse 0,50.0,10,0,1,0
576a548b-6c1a-4a63-b1c9-862ab3a3c925,Horse 5,125.0,4,0,1,0
576a548b-6c1a-4a63-b1c9-862ab3a3c925,Horse 0,125.0,4,0,1,0
576a548b-6c1a-4a63-b1c9-862ab3a3c925,Horse 2,125.0,4,0,1,0
576a548b-6c1a-4a63-b1c9-862ab3a3c925,Horse 4,83.33333333333333,6,0,0,1
576a548b-6c1a-4a63-b1c9-862ab3a3c925,Horse 3,71.42857142857143,7,0,0,1
576a548b-6c1a-4a63-b1c9-862ab3a3c925,Horse 6,45.45454545454545,11,0,1,0
576a548b-6c1a-4a63-b1c9-862ab3a3c925,Horse 1,31.25,16,0,0,1
3cc6ba84-7e25-42ff-9d4a-54cfb225ec55,Horse 6,500.0,1,0,0,1
3cc6ba84-7e25-42ff-9d4a-54cfb225ec55,Horse 2,500.0,1,0,0,1
3cc6ba84-7e25-42ff-9d4a-54cfb225ec55,Horse 0,166.66666666666666,3,0,0,1
3cc6ba84-7e25-42ff-9d4a-54cfb225ec55,Horse 1,166.66666666666666,3,0,0,1
3cc6ba84-7e25-42ff-9d4a-54cfb225ec55,Horse 5,100.0,5,1,0,0
3cc6ba84-7e25-42ff-9d4a-54cfb225ec55,Horse 3,83.33333333333333,6,0,1,0
3cc6ba84-7e25-42ff-9d4a-54cfb225ec55,Horse 4,62.5,8,0,1,0
7f28b438-97c8-4219-a58d-7ff79e364d8f,Horse 0,Infinity,0,0,0,1
7f28b438-97c8-4219-a58d-7ff79e364d8f,Horse 2,Infinity,0,0,0,1
7f28b438-97c8-4219-a58d-7ff79e364d8f,Horse 1,100.0,5,0,0,1
7f28b438-97c8-4219-a58d-7ff79e364d8f,Horse 5,83.33333333333333,6,0,1,0
7f28b438-97c8-4219-a58d-7ff79e364d8f,Horse 3,83.33333333333333,6,0,1,0
7f28b438-97c8-4219-a58d-7ff79e364d8f,Horse 4,83.33333333333333,6,0,1,0
7e1dfecf-e1ff-415a-a317-743ddc4f32a3,Horse 0,Infinity,0,0,0,1
7e1dfecf-e1ff-415a-a317-743ddc4f32a3,Horse 4,125.0,4,0,0,1
7e1dfecf-e1ff-415a-a317-743ddc4f32a3,Horse 3,125.0,4,1,0,0
7e1dfecf-e1ff-415a-a317-743ddc4f32a3,Horse 1,83.33333333333333,6,0,0,1
7e1dfecf-e1ff-415a-a317-743ddc4f32a3,Horse 6,55.55555555555556,9,0,0,1
7e1dfecf-e1ff-415a-a317-743ddc4f32a3,Horse 2,55.55555555555556,9,0,1,0
7e1dfecf-e1ff-415a-a317-743ddc4f32a3,Horse 5,35.714285714285715,14,0,0,1
90afc35f-3964-45bd-90ba-a436158f08b5,Horse 4,Infinity,0,0,0,1
90afc35f-3964-45bd-90ba-a436158f08b5,Horse 3,500.0,1,0,0,1
90afc35f-3964-45bd-90ba-a436158f08b5,Horse 1,166.66666666666666,3,1,0,0
90afc35f-3964-45bd-90ba-a436158f08b5,Horse 0,100.0,5,0,1,0
90afc35f-3964-45bd-90ba-a436158f08b5,Horse 2,83.33333333333333,6,0,1,0
90afc35f-3964-45bd-90ba-a436158f08b5,Horse 6,38.46153846153846,13,0,0,1
90afc35f-3964-45bd-90ba-a436158f08b5,Horse 5,38.46153846153846,13,0,1,0
ff84083a-f596-4c66-a872-8bf42528195c,Horse 2,Infinity,0,0,0,1
ff84083a-f596-4c66-a872-8bf42528195c,Horse 6,166.66666666666666,3,1,0,0
ff84083a-f596-4c66-a872-8bf42528195c,Horse 4,125.0,4,0,0,1
ff84083a-f596-4c66-a872-8bf42528195c,Horse 1,100.0,5,0,1,0
ff84083a-f596-4c66-a872-8bf42528195c,Horse 5,83.33333333333333,6,0,0,1
ff84083a-f596-4c66-a872-8bf42528195c,Horse 0,55.55555555555556,9,0,1,0
ff84083a-f596-4c66-a872-8bf42528195c,Horse 3,45.45454545454545,11,0,1,0
11ffc77b-8a82-4d2c-9e4c-c905ba484d8f,Horse 4,250.0,2,0,0,1
11ffc77b-8a82-4d2c-9e4c-c905ba484d8f,Horse 1,125.0,4,0,1,0
11ffc77b-8a82-4d2c-9e4c-c905ba484d8f,Horse 6,125.0,4,0,1,0
11ffc77b-8a82-4d2c-9e4c-c905ba484d8f,Horse 2,100.0,5,0,0,1
11ffc77b-8a82-4d2c-9e4c-c905ba484d8f,Horse 3,100.0,5,0,0,1
11ffc77b-8a82-4d2c-9e4c-c905ba484d8f,Horse 0,100.0,5,0,1,0
11ffc77b-8a82-4d2c-9e4c-c905ba484d8f,Horse 5,62.5,8,0,1,0
66ac098b-c173-4eb2-be30-c2fda4ea21ef,Horse 2,500.0,1,0,0,1
66ac098b-c173-4eb2-be30-c2fda4ea21ef,Horse 4,500.0,1,0,0,1
66ac098b-c173-4eb2-be30-c2fda4ea21ef,Horse 6,125.0,4,0,1,0
66ac098b-c173-4eb2-be30-c2fda4ea21ef,Horse 1,125.0,4,0,1,0
66ac098b-c173-4eb2-be30-c2fda4ea21ef,Horse 3,71.42857142857143,7,0,0,1
66ac098b-c173-4eb2-be30-c2fda4ea21ef,Horse 5,71.42857142857143,7,0,1,0
66ac098b-c173-4eb2-be30-c2fda4ea21ef,Horse 0,62.5,8,0,1,0
a5e7ce73-781d-4649-8030-719ca9bd1e6d,Horse 0,Infinity,0,0,0,1
a5e7ce73-781d-4649-8030-719ca9bd1e6d,Horse 2,500.0,1,0,0,1
a5e7ce73-781d-4649-8030-719ca9bd1e6d,Horse 6,166.66666666666666,3,0,0,1
a5e7ce73-781d-4649-8030-719ca9bd1e6d,Horse 4,166.66666666666666,3,0,0,1
a5e7ce73-781d-4649-8030-719ca9bd1e6d,Horse 9,125.0,4,0,0,1
a5e7ce73-781d-4649-8030-719ca9bd1e6d,Horse 8,125.0,4,1,0,0
a5e7ce73-781d-4649-8030-719ca9bd1e6d,Horse 1,125.0,4,0,1,0
a5e7ce73-781d-4649-8030-719ca9bd1e6d,Horse 3,100.0,5,0,0,1
a5e7ce73-781d-4649-8030-719ca9bd1e6d,Horse 5,100.0,5,0,0,1
a5e7ce73-781d-4649-8030-719ca9bd1e6d,Horse 7,83.33333333333333,6,0,1,0
e9dc9f87-6852-4398-82f2-571b5db38e0e,Horse 0,Infinity,0,0,0,1
e9dc9f87-6852-4398-82f2-571b5db38e0e,Horse 1,166.66666666666666,3,0,0,1
e9dc9f87-6852-4398-82f2-571b5db38e0e,Horse 4,100.0,5,1,0,0
e9dc9f87-6852-4398-82f2-571b5db38e0e,Horse 3,62.5,8,0,1,0
e9dc9f87-6852-4398-82f2-571b5db38e0e,Horse 5,35.714285714285715,14,0,0,1
e9dc9f87-6852-4398-82f2-571b5db38e0e,Horse 2,31.25,16,0,0,1
748c9f9b-533f-4c64-ac9a-95be0e7ff843,Horse 6,Infinity,0,0,0,1
748c9f9b-533f-4c64-ac9a-95be0e7ff843,Horse 2,125.0,4,0,0,1
748c9f9b-533f-4c64-ac9a-95be0e7ff843,Horse 1,100.0,5,1,0,0
748c9f9b-533f-4c64-ac9a-95be0e7ff843,Horse 3,100.0,5,0,1,0
748c9f9b-533f-4c64-ac9a-95be0e7ff843,Horse 4,62.5,8,0,1,0
748c9f9b-533f-4c64-ac9a-95be0e7ff843,Horse 0,62.5,8,0,1,0
748c9f9b-533f-4c64-ac9a-95be0e7ff843,Horse 5,55.55555555555556,9,0,0,1
f0dc0847-bd60-4a02-9611-e2307e67052e,Horse 0,250.0,2,0,0,1
f0dc0847-bd60-4a02-9611-e2307e67052e,Horse 3,125.0,4,0,0,1
f0dc0847-bd60-4a02-9611-e2307e67052e,Horse 6,125.0,4,1,0,0
f0dc0847-bd60-4a02-9611-e2307e67052e,Horse 5,100.0,5,0,1,0
